date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:24	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2002%20May%202018%2017:19:24%20GMT	http://themenate.com/robots.txt		(from )
22:49:25	103348/103348	---M-Z	200	added ('OK')	text/html	etag:%222062ccf-193b4-55b6d8ff03400-gzip%22	http://themenate.com/espire/html/dist/	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/index.html	(from )
22:49:25	4161/4161	---M--	200	added ('OK')	image/png	etag:%222062d04-1041-55ae16e1ba440%22	http://themenate.com/espire/html/dist/assets/images/logo/favicon.png	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/images/logo/favicon.png	(from http://themenate.com/espire/html/dist/)
22:49:25	174904/174904	---M--	200	added ('OK')	text/css	etag:%222083579-2ab38-56344df4dc004%22	http://themenate.com/espire/html/bower_components/bootstrap/dist/css/bootstrap.css	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/bootstrap/dist/css/bootstrap.css	(from http://themenate.com/espire/html/dist/)
22:49:27	409/409	---M--	200	added ('OK')	text/css	etag:%222061e18-199-55846e5bee040%22	http://themenate.com/espire/html/bower_components/PACE/themes/blue/pace-theme-minimal.css	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/PACE/themes/blue/pace-theme-minimal.css	(from http://themenate.com/espire/html/dist/)
22:49:27	4629/4629	---M--	200	added ('OK')	text/css	etag:%222062942-1215-55846ada85b00%22	http://themenate.com/espire/html/bower_components/perfect-scrollbar/css/perfect-scrollbar.min.css	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/perfect-scrollbar/css/perfect-scrollbar.min.css	(from http://themenate.com/espire/html/dist/)
22:49:27	716/716	---M--	200	added ('OK')	text/css	etag:%22206207a-2cc-558468d5a1780%22	http://themenate.com/espire/html/bower_components/bower-jvectormap/jquery-jvectormap-1.2.2.css	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/bower-jvectormap/jquery-jvectormap-1.2.2.css	(from http://themenate.com/espire/html/dist/)
22:49:27	8419/8419	---M--	200	added ('OK')	text/css	etag:%22206291d-20e3-55846acc37940%22	http://themenate.com/espire/html/bower_components/nvd3/build/nv.d3.min.css	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/nvd3/build/nv.d3.min.css	(from http://themenate.com/espire/html/dist/)
22:49:28	33155/33155	---M--	200	added ('OK')	text/css	etag:%222062ce1-8183-55ae16d73cb80%22	http://themenate.com/espire/html/dist/assets/css/ei-icon.css	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/css/ei-icon.css	(from http://themenate.com/espire/html/dist/)
22:49:29	16450/16450	---M--	200	added ('OK')	text/css	etag:%222062ce4-4042-55ae16d73cb80%22	http://themenate.com/espire/html/dist/assets/css/themify-icons.css	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/css/themify-icons.css	(from http://themenate.com/espire/html/dist/)
